"DOCUMENT_ID","AGENCY","FUND","BUDGET YEAR","PROGRAM","ACTIVITY","STRATEGIC GOAL","FUNDING ORG","MANAGING UNIT","COST CENTER","OBJECT CLASS","VENDOR_NAME","VENDOR_SITE_NAME","DUNN_TIN","ORDERED_AMOUNT","ADVANCE_AMOUNT","RECEIVED_AMOUNT","BILLED_AMOUNT","CANCELLED_AMOUNT"
"2409DOLJ099628910000","26","01810910AD","2009","0181000109","100000","10000","1OJC00","1OJC00","190183","252099","CENTER FOR DISEASE DETECTION, LLC","CENTER FOR DISEASE DETECTION, LLC","009752296","204412.5","0","204412.5","204412.5","0"
"1909M0027447000","26","01810910AD","2009","0181000109","100000","10000","1OJC00","1OJC00","190183","252099","UNKNOWN","UNKNOWN","999888777","10957.8","0","10957.8","10957.8","0"
"1909M0026555000","26","01810910AD","2009","0181000109","100000","10000","1OJC00","1OJC00","190183","252099","UNKNOWN","UNKNOWN","999888777","31526.14","0","31526.14","31526.14","0"
"1907J051A20163000","26","01810910AD","2009","0181000109","100000","10000","1OJC00","1OJC00","190183","252099","WA STATE DEPARTMENT OF ENTERPRISE SERVICES","WA STATE DEPARTMENT OF ENTERPRISE SERVICES","969952261","1073628.5","0","1073628.5","1073628.5","0"
"1909M0026936000","26","01810910AD","2009","0181000109","100000","10000","1OJC00","1OJC00","190183","252099","UNKNOWN","UNKNOWN","999888777","162471.69","0","162471.69","162471.69","0"
"1909M0026845000","26","01810910AD","2009","0181000109","100000","10000","1OJC00","1OJC00","190183","252099","UNKNOWN","UNKNOWN","999888777","51682.43","0","51682.43","51682.43","0"
"1907J069624534002","26","01810910AD","2009","0181000109","100000","10000","1OJC00","1OJC00","190183","252099","BANK BUILDING LIMITED PARTNERSHIP","BANK BUILDING LIMITED PARTNERSHIP","361385250","111607.58","0","111607.58","111607.58","0"
"1909M0027017000","26","01810910AD","2009","0181000109","100000","10000","1OJC00","1OJC00","190183","252099","UNKNOWN","UNKNOWN","999888777","8516.15","0","8516.15","8516.15","0"
"1909M0026613000","26","01810910AD","2009","0181000109","100000","10000","1OJC00","1OJC00","190183","252099","UNKNOWN","UNKNOWN","999888777","7017.9","0","7017.9","7017.9","0"
"1909M0027165000","26","01810910AD","2009","0181000109","100000","10000","1OJC00","1OJC00","190183","252099","UNKNOWN","UNKNOWN","999888777","10694.12","0","10694.12","10694.12","0"
"1909M0026399000","26","01810910AD","2009","0181000109","100000","10000","1OJC00","1OJC00","190183","252099","UNKNOWN","UNKNOWN","999888777","2588.3","0","2588.3","2588.3","0"
"1904J05PA00001014","26","01810910AD","2009","0181000109","100000","10000","1OJC00","1OPHI0","1C0730","252099","DYNAMIC EDUCATIONAL SYSTEMS, INC.","DYNAMIC EDUCATIONAL SYSTEMS, INC.","620834739","1701277","0","1701277","1701277","0"
"1905J06PA00003001","26","01810910AD","2009","0181000109","100000","10000","1OJC00","1OPHI0","1C0730","252099","MANAGEMENT & TRAINING CORPORATION","MANAGEMENT & TRAINING CORPORATION","039203740","2777919","0","2777919","2777919","0"
